Email,problem0,problem1,problem2,problem3,problem4,Earned
sammie.jaydaa@gmail.com,7.0,10.0,10.0,10.0,10.0,47.0
juan.quay@aol.com,10.0,10.0,6.5,0.0,,26.5
gino.branston@gatech.edu,10.0,5.0,10.0,10.0,10.0,45.0
robert.gioanna@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
adam.evemarie@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
christine.leani@yahoo.com,7.0,5.0,9.0,10.0,10.0,41.0
hattie.gabriella@gmail.com,10.0,10.0,10.0,10.0,7.0,47.0
fatima.shack@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
isabella.suesan@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
edward.elizaida@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
bridget.zykeira@gmail.com,7.0,10.0,8.0,10.0,10.0,45.0
jude.ahsir@gatech.edu,10.0,10.0,10.0,10.0,7.0,47.0
allison.link@yahoo.com,7.0,2.0,,,,9.0
kari.reighlynn@gatech.edu,5.0,10.0,10.0,10.0,10.0,45.0
daniel.raihan@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
aneesa.blaidyn@aol.com,10.0,10.0,10.0,10.0,10.0,50.0
erika.diaan@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
lawrence.kiyona@hotmail.com,4.0,8.0,5.5,10.0,6.0,33.5
michaela.ashauria@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
susan.jannick@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
rene.amritpal@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
pamela.chasitity@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
tavares.alymuhammad@gmail.com,10.0,10.0,9.0,10.0,6.0,45.0
damon.martise@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
betty.pancho@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
jessie.telesfor@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
ron.mariadelosangel@gmail.com,5.0,10.0,10.0,10.0,10.0,45.0
rita.devun@gmail.com,7.0,10.0,9.0,10.0,10.0,46.0
madeline.soila@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
nathan.raylean@hotmail.com,7.0,10.0,10.0,10.0,10.0,47.0
blair.olivianna@gmail.com,10.0,10.0,9.0,10.0,6.0,45.0
bryce.daziah@gmail.com,2.0,10.0,10.0,10.0,2.0,34.0
audrey.khushbu@gmail.com,10.0,2.0,9.0,,1.0,22.0
virginia.marqell@gmail.com,4.0,10.0,10.0,5.0,10.0,39.0
charles.monir@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
barbara.dewarren@gmail.com,10.0,10.0,10.0,2.0,10.0,42.0
kathy.kym@gmx.at,10.0,10.0,10.0,10.0,10.0,50.0
buddy.keyria@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
janet.tenaj@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
jack.othmar@gmail.com,5.0,10.0,10.0,10.0,10.0,45.0
jessi.reggan@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
david.caswell@duke.edu,7.0,3.0,10.0,2.0,,22.0
george.hinata@gatech.edu,10.0,10.0,10.0,10.0,8.0,48.0
devan.sameya@gmail.com,7.0,10.0,10.0,10.0,10.0,47.0
mary.amedio@gatech.edu,10.0,10.0,10.0,10.0,5.0,45.0
max.nequita@valensdatalabs.com,10.0,10.0,10.0,5.0,10.0,45.0
sharon.syniya@gmail.com,10.0,10.0,9.0,7.0,10.0,46.0
karen.adnrew@google.com,10.0,10.0,9.0,10.0,10.0,49.0
barbara.wilhemina@gatech.edu,10.0,2.0,0.0,0.0,0.0,12.0
bonna.tahisha@yahoo.com,10.0,10.0,10.0,10.0,7.0,47.0
randy.vincente@me.com,7.0,10.0,10.0,10.0,6.0,43.0
mel.gilman@gatech.edu,7.0,10.0,8.0,,1.0,26.0
daniel.tashera@gmail.com,10.0,10.0,10.0,5.0,6.0,41.0
tiffany.quindell@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
jan.taqi@gatech.edu,10.0,10.0,10.0,10.0,6.0,46.0
ronald.elfie@gmail.com,7.0,10.0,10.0,10.0,10.0,47.0
eileen.malu@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
elizabeth.america@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
jessie.armetta@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
bradley.dailey@case.edu,10.0,10.0,10.0,10.0,10.0,50.0
emily.zoeyann@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
earl.mahika@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
alice.matthewdavid@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
ryo.hinano@hotmail.co.jp,7.0,10.0,9.0,10.0,10.0,46.0
denise.zykai@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
heather.vedah@gmail.com,7.0,,0.0,10.0,0.0,17.0
philip.lebarron@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
charles.saya@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
cody.eastin@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
anquette.zeshaun@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
destiny.charnaye@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
sergio.cherye@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
george.kayleeanna@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
henry.marcenia@hel.fi,10.0,10.0,10.0,10.0,10.0,50.0
william.sanvi@gmail.com,10.0,10.0,9.0,5.0,10.0,44.0
dustin.maleeah@gmail.com,7.0,10.0,10.0,10.0,10.0,47.0
juanita.esiah@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
coltin.taliya@hotmail.com,10.0,10.0,8.0,10.0,10.0,48.0
stacie.swadha@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
payton.michoel@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
tina.davontaye@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
hayden.mixtly@ieee.org,10.0,10.0,10.0,10.0,10.0,50.0
susan.sanai@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
chad.kamiyra@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
betsy.rictoria@bucknell.edu,7.0,10.0,10.0,10.0,10.0,47.0
chad.darnella@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
gale.syler@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
edna.teerica@gmail.com,10.0,10.0,10.0,7.0,5.0,42.0
lyrik.tasmine@hotmail.com,10.0,10.0,10.0,10.0,10.0,50.0
trey.haldrin@gmail.com,7.0,10.0,10.0,10.0,10.0,47.0
