Email,problem0,problem1,problem2,problem3,problem4
jessie.armetta@gatech.edu,10,10,10,10,10
matthew.jacon@yahoo.com,10,10,10,2,5
fernando.jenzel@gmail.com,10,10,10,--------,10
rosemary.kevondrick@gmail.com,5,7,10,10,10
betty.pancho@gmail.com,10,10,10,10,10
sharon.syniya@gmail.com,10,10,10,10,10
donald.hendrick@gmail.com,5,10,5,--------,5
david.luchia@gmail.com,10,10,10,10,10
edward.elizaida@gatech.edu,10,10,10,10,10
cecelia.iraa@queensu.ca,10,10,10,10,8
jasmin.marjona@gmail.com,--------,0,10,10,5
charles.monir@gatech.edu,5,10,10,10,6
elizabeth.eizabella@gatech.edu,10,10,10,10,10
mae.renzie@aol.com,8,10,10,8,10
jessie.telesfor@gatech.edu,7,10,10,10,6
kristina.lichelle@hotmail.com,5,10,--------,--------,--------
christine.leani@yahoo.com,5,7,10,4,6
brian.nansy@gmail.com,10,10,10,--------,1
randolph.nathalye@gmail.com,7,10,10,9,10
matthew.amidala@gmail.com,10,10,10,10,5
susan.sanai@gatech.edu,10,10,10,10,10
samiel.yustin@gatech.edu,10,10,10,2,10
isabella.suesan@gmail.com,10,10,10,10,6
devon.jayion@gmail.com,10,10,10,8,6
jasmine.cread@gatech.edu,10,10,10,6,10
jamilah.marcellyn@yahoo.com,10,10,10,10,5
daniel.raihan@gmail.com,10,10,10,10,10
arlyn.orlandra@gmail.com,10,10,10,10,10
joseph.neethu@gmail.com,10,10,10,6,5
mary.kavaris@gmail.com,5,7,10,7,10
michael.jakeil@gmail.com,10,10,10,10,10
destiny.charnaye@gatech.edu,10,10,10,10,10
aneesa.blaidyn@aol.com,10,10,10,10,10
nathan.raylean@hotmail.com,10,10,10,10,6
kayla.bhavna@gatech.edu,5,10,1,6,10
richard.chontell@gmail.com,5,7,10,0,5
john.mckoy@nu.edu.kz,10,10,10,10,10
stella.latreace@gmail.com,10,7,10,0,5
william.sanvi@gmail.com,5,7,10,6,5
lillyanna.dester@poczta.onet.pl,10,10,10,10,10
leonard.fidensio@valensdatalabs.com,10,10,10,2,10
fatima.shack@gmail.com,10,10,10,10,6
hetty.jenyka@gmail.com,10,10,10,10,10
allison.link@yahoo.com,2,0,0,0,5
mary.amedio@gatech.edu,10,10,10,--------,6
max.nequita@valensdatalabs.com,10,10,10,10,10
michael.johnjack@gmail.com,10,10,10,10,10
ronald.elfie@gmail.com,10,10,10,10,5
george.hinata@gatech.edu,10,10,10,10,10
jan.taqi@gatech.edu,10,7,10,10,10
maryanne.kayge@gmail.com,10,10,10,4,10
leena.roah@gatech.edu,10,10,10,10,10
rene.amritpal@gmail.com,10,10,10,10,10
randy.vincente@me.com,10,10,10,--------,5
boston.shyera@gmail.com,3,10,10,0,5
thomas.masao@gmail.com,7,7,10,10,6
kai.rex@gmail.com,10,8,10,4,10
andrew.jlah@hotmail.co.uk,10,10,10,10,10
jessi.reggan@gmail.com,10,10,10,10,10
philip.lebarron@gmail.com,10,10,10,10,10
abigail.alizah@umich.edu,4,5,10,8,5
scarlett.abyssinia@gatech.edu,10,10,10,10,10
justin.jernee@gatech.edu,10,10,10,10,10
pamela.chasitity@gatech.edu,5,7,10,--------,1
jude.ahsir@gatech.edu,10,10,10,10,10
denise.zykai@gmail.com,10,10,10,10,10
conrad.rhonisha@vt.edu,5,10,10,10,10
damon.martise@gmail.com,10,10,10,10,10
kathryn.colt@mycit.ie,10,10,10,6,5
george.kayleeanna@gmail.com,8,10,10,3,10
blair.olivianna@gmail.com,10,7,10,10,10
john.ladia@mycit.ie,10,10,10,10,10
myron.caidin@gatech.edu,10,7,10,10,10
