Email,problem0,problem1,problem2,problem3,problem4,Score
sammie.jaydaa@gmail.com,7,10,10,10,10,45
juan.quay@aol.com,10,10,6.5,0,--------,26.5
gino.branston@gatech.edu,10,5,10,10,10,45
robert.gioanna@gatech.edu,10,10,10,10,10,45
adam.evemarie@gmail.com,10,10,10,10,10,45
christine.leani@yahoo.com,7,5,9,10,10,41
hattie.gabriella@gmail.com,10,10,10,10,7,45
fatima.shack@gmail.com,10,10,10,10,10,45
isabella.suesan@gmail.com,10,10,10,10,10,45
edward.elizaida@gatech.edu,10,10,10,5,10,45
bridget.zykeira@gmail.com,7,10,8,10,10,45
jude.ahsir@gatech.edu,10,10,10,10,7,45
allison.link@yahoo.com,7,2,--------,--------,--------,9
kari.reighlynn@gatech.edu,5,10,10,10,10,45
daniel.raihan@gmail.com,10,10,10,10,10,45
aneesa.blaidyn@aol.com,10,10,10,10,10,45
erika.diaan@gmail.com,10,10,10,5,10,45
lawrence.kiyona@hotmail.com,4,8,5.5,10,6,33.5
michaela.ashauria@gmail.com,10,10,10,10,10,45
susan.jannick@gmail.com,10,10,10,5,10,45
rene.amritpal@gmail.com,10,10,10,10,10,45
pamela.chasitity@gatech.edu,10,10,10,5,10,45
tavares.alymuhammad@gmail.com,10,10,9,10,6,45
damon.martise@gmail.com,10,10,10,10,6,45
betty.pancho@gmail.com,10,10,10,10,10,45
jessie.telesfor@gatech.edu,10,10,10,10,10,45
ron.mariadelosangel@gmail.com,5,10,10,10,10,45
rita.devun@gmail.com,7,10,9,10,10,45
madeline.soila@gatech.edu,10,10,10,10,10,45
nathan.raylean@hotmail.com,7,10,10,10,10,45
blair.olivianna@gmail.com,10,10,9,10,6,45
bryce.daziah@gmail.com,2,10,10,10,2,34
audrey.khushbu@gmail.com,10,2,9,--------,1,22
virginia.marqell@gmail.com,4,10,10,5,10,39
charles.monir@gatech.edu,10,10,10,5,10,45
barbara.dewarren@gmail.com,10,10,10,2,10,42
kathy.kym@gmx.at,10,10,10,10,10,45
